Game Id (Pk),Date,First Player Id,First Out Id,Total Turns,Friendship counters,Notes,
1,1/1/2025,KE,KE,10,20,,
2,1/1/2025,CC,CC,10,20,,
3,1/1/2025,ZH,NC,10,20,,
4,1/8/2025,NC,,8,19,,
5,1/8/2025,CC,,12,16,This game took 5-ever,
6,1/8/2025,,CC,12,13,,
7,1/15/2025,ZH,ZH,12,12,Zach left to tend to sick Hunter,
8,1/15/2025,CC,KE,9,11,I knocked out Kenny with the lands!,
9,1/15/2025,NC,NC,12,11,,
10,1/22/2025,KE,,6,11,Sweaty Game,
11,1/22/2025,,ZH,9,10,Kenny ended with 155 life,
12,1/22/2025,KE,,7,20,,
13,1/22/2025,KE,,11,20,Fucking salt mine of a night, Zach won with second sun
14,1/29/2025,NC,ZH,10,20,zach knocked out first due to win con on field,
15,1/29/2025,,KE,9,20,,
16,1/29/2025,ZH,,8,20,,
17,2/5/2025,CC,CC,9,20,,
18,2/5/2025,NC,,6,20,,
19,2/5/2025,KE,,9,20,,
20,2/5/2025,ZH,KE,8,20,,
21,2/19/2025,NC,,9,20,zach out due to seepiness,
22,2/19/2025,KE,NC,9,20,,
23,2/26/2025,NC,KE,8,20,,
24,2/26/2025,,NC,9,20,,
25,2/26/2025,CC,CC,8,20,,
26,3/5/2025,ZH,KE,15,20,,
27,3/5/2025,KE,ZH,9,20,,
28,3/5/2025,,CC,,20,,
29,3/12/2025,KE,ZH,,20,,
30,3/12/2025,,KE,,20,,
31,3/12/2025,,,11,20,,
32,3/12/2025,ZH,ZH,,20,,
33,3/26/2025,KE,,8,20,,
34,3/26/2025,ZH,,11,20,,
35,3/26/2025,CC,CC,8,20,,
36,4/2/2025,ZH,,8,20,,
37,4/2/2025,KE,,,20,,
38,4/2/2025,,,8,20,,
39,4/9/2025,,,7,20,,
40,4/9/2025,ZH,,7,20,,
41,4/9/2025,KE,KE,9,20,,
42,4/16/2025,CC,ZH,10,20,,
43,4/16/2025,NC,,,20,,
44,4/23/2025,,,,20,,
45,4/23/2025,KE,,,20,,
46,4/23/2025,,,8,20,,
47,5/1/2025,KE,NC,12,20,,
48,5/1/2025,,CC,9,20,,
49,5/7/2025,CC,KE,7,20,,
50,5/7/2025,KE,,7,20,,
51,5/7/2025,NC,,6,20,,
52,5/14/2025,,NC,7,20,,
53,5/14/2025,NC,,8,20,,
54,5/14/2025,KE,,8,20,,
55,5/21/2025,KE,ZH,11,20,,
56,5/21/2025,ZH,,10,20,,
57,5/28/2025,KE,CC,11,20,,
58,5/28/2025,ZH,KE,11,20,,
59,6/4/2025,CC,CC,8,20,,
60,6/4/2025,KE,,9,20,,
61,6/18/2025,CC,ZH,7,20,,
62,6/18/2025,KE,,12,20,,
63,6/11/2025,LT,,14,20,,
64,6/11/2025,,ZH,7,20,,
65,6/11/2025,,,11,20,,
